length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
5, 1, 0, 3.847, 15.466, 1.753, 20.747, 2.088, 17.252, 15.200, 0.000, 14.240, 0.000, 0.136, 19.040, 0.000, 
5, 1, 0, 3.806, 14.669, 1.583, 20.755, 1.679, 16.757, 14.720, 0.000, 14.240, 0.000, 0.151, 18.720, 0.000, 
5, 1, 0, 4.093, 15.374, 1.580, 21.004, 2.051, 16.898, 14.720, 0.000, 14.400, 0.000, 0.128, 20.320, 0.000, 
5, 1, 0, 3.772, 13.825, 1.620, 20.693, 1.593, 16.870, 15.040, 0.000, 14.400, 0.000, 0.133, 18.880, 0.000, 
5, 1, 0, 3.727, 14.582, 1.808, 21.194, 1.869, 17.077, 14.720, 0.000, 14.400, 0.000, 0.118, 19.040, 0.000, 
5, 1, 0, 3.850, 14.172, 1.451, 20.722, 2.020, 17.156, 14.720, 0.000, 14.080, 0.000, 0.186, 19.040, 0.000, 
5, 1, 0, 3.860, 15.161, 1.638, 20.899, 1.884, 17.001, 14.720, 0.000, 14.400, 0.000, 0.111, 19.040, 0.000, 
5, 1, 0, 3.719, 14.222, 1.782, 20.546, 2.098, 17.080, 15.040, 0.000, 14.240, 0.000, 0.112, 19.040, 0.000, 
5, 1, 0, 3.932, 15.131, 1.490, 20.681, 1.989, 16.914, 14.720, 0.000, 14.399, 0.000, 0.140, 19.200, 0.000, 
5, 1, 0, 3.727, 13.568, 1.588, 20.625, 1.996, 16.869, 14.880, 0.000, 14.400, 0.000, 0.118, 19.040, 0.000, 
6, 1, 0, 4.326, 16.858, 1.832, 22.400, 2.022, 18.479, 16.000, 0.000, 15.680, 0.000, 0.112, 19.680, 0.000, 
6, 1, 0, 4.629, 16.268, 1.640, 22.197, 2.334, 18.708, 16.320, 0.000, 15.520, 0.000, 0.090, 18.560, 0.000, 
6, 1, 0, 4.440, 16.105, 1.345, 22.000, 2.095, 19.154, 16.000, 0.000, 15.520, 0.000, 0.126, 18.879, 0.000, 
6, 1, 0, 4.097, 16.380, 1.547, 22.109, 1.848, 18.248, 16.160, 0.000, 15.680, 0.000, 0.116, 18.880, 0.000, 
6, 1, 0, 4.187, 15.503, 1.687, 22.132, 1.900, 18.487, 16.160, 0.000, 15.680, 0.000, 0.113, 18.880, 0.000, 
6, 1, 0, 4.471, 15.160, 1.414, 21.798, 2.049, 18.522, 16.320, 0.000, 15.840, 0.000, 0.130, 20.320, 0.000, 
6, 1, 0, 4.271, 14.128, 1.539, 22.006, 1.906, 18.378, 16.160, 0.000, 15.520, 0.000, 0.114, 19.840, 0.000, 
6, 1, 0, 5.999, 19.704, 1.827, 22.149, 1.753, 17.782, 16.320, 0.000, 15.680, 0.000, 0.145, 19.680, 0.000, 
6, 1, 0, 4.288, 16.199, 1.567, 22.085, 2.140, 18.231, 16.160, 0.000, 15.680, 0.000, 0.121, 18.720, 0.000, 
6, 1, 0, 4.335, 14.454, 1.447, 22.092, 1.771, 18.372, 16.320, 0.000, 15.520, 0.000, 0.121, 17.600, 0.000, 
7, 1, 0, 4.984, 17.705, 1.477, 23.526, 1.926, 19.575, 17.600, 0.000, 16.800, 0.000, 0.118, 20.160, 0.000, 
7, 1, 0, 5.132, 16.237, 1.334, 23.474, 1.596, 19.302, 17.599, 0.000, 16.960, 0.000, 0.122, 19.200, 0.000, 
7, 1, 0, 4.855, 16.498, 1.444, 23.274, 1.728, 19.347, 17.599, 0.000, 16.960, 0.000, 0.116, 18.400, 0.000, 
7, 1, 0, 4.674, 16.221, 1.639, 23.584, 1.651, 19.611, 17.600, 0.000, 16.960, 0.000, 0.115, 19.040, 0.000, 
7, 1, 0, 4.810, 16.553, 2.177, 23.860, 1.813, 19.590, 17.280, 0.000, 17.120, 0.000, 0.122, 18.560, 0.000, 
7, 1, 0, 4.532, 15.215, 2.105, 23.759, 1.918, 19.772, 17.440, 0.000, 16.960, 0.000, 0.122, 18.720, 0.000, 
7, 1, 0, 4.691, 16.760, 1.245, 23.281, 1.805, 19.364, 17.600, 0.000, 16.960, 0.000, 0.116, 20.160, 0.000, 
7, 1, 0, 4.735, 15.106, 1.603, 23.289, 1.807, 19.515, 17.600, 0.000, 17.120, 0.000, 0.235, 19.520, 0.000, 
7, 1, 0, 4.852, 15.994, 1.633, 23.382, 1.733, 19.363, 17.760, 0.000, 16.800, 0.000, 0.153, 20.640, 0.000, 
7, 1, 0, 4.977, 15.306, 1.829, 23.405, 2.022, 19.659, 17.600, 0.000, 16.800, 0.000, 0.124, 19.680, 0.000, 
8, 1, 0, 5.814, 18.548, 1.509, 24.588, 1.829, 20.939, 19.040, 0.000, 19.040, 0.000, 0.132, 19.040, 0.000, 
8, 1, 0, 5.733, 16.240, 1.364, 24.532, 1.768, 20.828, 18.880, 0.000, 18.240, 0.000, 0.119, 18.400, 0.000, 
8, 1, 0, 5.920, 18.765, 1.585, 24.874, 2.075, 21.320, 19.040, 0.000, 18.240, 0.000, 0.115, 18.400, 0.000, 
8, 1, 0, 5.683, 20.260, 1.385, 24.589, 1.913, 20.926, 19.040, 0.000, 18.400, 0.000, 0.131, 19.040, 0.000, 
8, 1, 0, 5.803, 19.124, 1.518, 24.901, 1.753, 20.829, 19.040, 0.000, 18.240, 0.000, 0.190, 18.559, 0.000, 
8, 1, 0, 5.825, 16.364, 1.434, 24.670, 1.936, 20.894, 18.880, 0.000, 18.240, 0.000, 0.116, 18.080, 0.000, 
8, 1, 0, 6.266, 16.703, 1.330, 24.960, 1.644, 20.769, 18.720, 0.000, 18.240, 0.000, 0.119, 20.480, 0.000, 
8, 1, 0, 5.998, 15.974, 1.469, 24.669, 2.253, 20.985, 18.880, 0.000, 18.560, 0.000, 0.119, 18.400, 0.000, 
8, 1, 0, 5.676, 16.482, 1.407, 24.834, 1.799, 20.475, 18.720, 0.000, 18.719, 0.000, 0.176, 20.000, 0.000, 
8, 1, 0, 5.965, 17.230, 1.612, 24.673, 1.741, 20.513, 18.720, 0.000, 18.400, 0.000, 0.118, 19.040, 0.000, 
9, 1, 0, 6.990, 18.566, 1.715, 26.100, 1.895, 22.319, 20.000, 0.000, 19.520, 0.000, 0.116, 20.960, 0.000, 
9, 1, 0, 6.504, 17.871, 1.384, 26.011, 2.087, 22.249, 20.159, 0.000, 19.360, 0.000, 0.130, 19.040, 0.000, 
9, 1, 0, 6.277, 18.583, 1.817, 26.137, 1.923, 22.170, 20.000, 0.000, 19.520, 0.000, 0.131, 18.879, 0.000, 
9, 1, 0, 6.343, 17.488, 1.674, 26.344, 1.713, 22.201, 20.160, 0.000, 19.680, 0.000, 0.131, 18.720, 0.000, 
9, 1, 0, 6.035, 17.296, 1.749, 26.343, 1.689, 22.146, 20.160, 0.000, 19.680, 0.000, 0.145, 18.720, 0.000, 
9, 1, 0, 6.584, 18.063, 1.846, 26.356, 1.860, 22.345, 20.320, 0.000, 19.680, 0.000, 0.132, 19.360, 0.000, 
9, 1, 0, 6.319, 18.264, 1.972, 26.332, 1.734, 22.601, 20.319, 0.000, 20.000, 0.000, 0.128, 19.360, 0.000, 
9, 1, 0, 6.513, 16.953, 1.486, 25.928, 1.991, 22.172, 20.320, 0.000, 19.680, 0.000, 0.138, 19.519, 0.000, 
9, 1, 0, 6.572, 17.659, 1.851, 25.969, 1.857, 22.239, 20.320, 0.000, 20.000, 0.000, 0.145, 18.400, 0.000, 
9, 1, 0, 6.215, 16.770, 1.362, 25.929, 1.770, 22.164, 20.000, 0.000, 19.680, 0.000, 0.130, 19.520, 0.000, 
10, 1, 0, 6.912, 20.888, 1.651, 27.471, 1.758, 23.268, 21.600, 0.000, 21.600, 0.000, 0.188, 18.400, 0.000, 
10, 1, 0, 7.067, 18.322, 1.400, 27.534, 2.039, 23.893, 21.440, 0.000, 20.960, 0.000, 0.136, 21.600, 0.000, 
10, 1, 0, 6.777, 18.982, 1.648, 27.445, 1.780, 23.503, 21.600, 0.000, 21.120, 0.000, 0.140, 18.880, 0.000, 
10, 1, 0, 6.729, 19.158, 1.586, 27.519, 1.960, 23.745, 21.439, 0.000, 21.120, 0.000, 0.100, 19.200, 0.000, 
10, 1, 0, 6.666, 19.626, 1.960, 27.353, 1.717, 23.512, 21.440, 0.000, 20.960, 0.000, 0.140, 18.559, 0.000, 
10, 1, 0, 7.112, 18.074, 2.010, 27.711, 1.842, 23.454, 21.440, 0.000, 21.279, 0.000, 0.129, 20.640, 0.000, 
10, 1, 0, 6.651, 18.144, 1.578, 27.431, 2.045, 23.715, 21.440, 0.000, 20.960, 0.000, 0.118, 18.560, 0.000, 
10, 1, 0, 6.888, 17.877, 1.523, 27.495, 1.694, 23.282, 21.600, 0.000, 21.120, 0.000, 0.136, 19.200, 0.000, 
10, 1, 0, 6.556, 18.843, 1.740, 27.591, 1.625, 23.513, 21.440, 0.000, 20.800, 0.000, 0.143, 18.880, 0.000, 
10, 1, 0, 6.747, 18.098, 1.698, 27.456, 1.866, 23.643, 21.600, 0.000, 20.800, 0.000, 0.109, 19.360, 0.000, 
11, 1, 0, 7.714, 20.285, 1.370, 28.528, 1.697, 24.930, 22.880, 0.000, 22.240, 0.000, 0.176, 18.720, 0.000, 
