length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
5, 4, 0, 18.811, 3356.962, 11.185, 41.044, 6.460, 45.655, 26.720, 0.000, 28.000, 0.000, 0.658, 8.960, 0.000, 
5, 4, 0, 17.967, 3421.525, 11.017, 33.025, 5.251, 29.388, 26.560, 0.000, 26.400, 0.000, 0.657, 8.800, 0.000, 
5, 4, 0, 18.010, 3414.725, 10.450, 49.378, 5.260, 28.412, 33.600, 0.000, 26.080, 0.000, 0.531, 8.320, 0.000, 
5, 4, 0, 17.779, 3354.566, 69.985, 85.142, 8.295, 30.750, 27.520, 0.000, 26.560, 0.000, 0.649, 8.960, 0.000, 
5, 4, 0, 18.285, 3365.278, 10.709, 30.815, 5.372, 29.589, 27.678, 0.000, 26.720, 0.000, 0.643, 8.799, 0.000, 
5, 4, 0, 17.930, 3368.050, 12.238, 31.209, 5.918, 28.294, 34.080, 0.000, 26.080, 0.000, 0.610, 8.640, 0.000, 
5, 4, 0, 17.815, 3362.926, 11.089, 49.812, 5.359, 27.908, 26.880, 0.000, 25.760, 0.000, 0.633, 8.800, 0.000, 
5, 4, 0, 19.402, 3367.438, 11.470, 48.676, 5.738, 30.021, 26.880, 0.000, 25.440, 0.000, 0.631, 8.480, 0.000, 
5, 4, 0, 17.615, 3381.829, 11.309, 31.455, 5.163, 27.972, 33.440, 0.000, 26.560, 0.000, 0.637, 9.120, 0.000, 
5, 4, 0, 17.638, 3376.233, 11.185, 31.859, 5.629, 30.057, 27.200, 0.000, 26.560, 0.000, 0.682, 8.800, 0.000, 
6, 4, 0, 20.260, 3368.124, 11.972, 33.454, 4.674, 28.795, 36.000, 0.000, 28.320, 0.000, 0.679, 8.800, 0.000, 
6, 4, 0, 19.727, 3365.768, 11.156, 52.151, 4.788, 27.132, 29.600, 0.000, 29.120, 0.000, 0.663, 8.960, 0.000, 
6, 4, 0, 20.049, 3355.114, 10.210, 31.964, 6.415, 30.426, 28.960, 0.000, 29.120, 0.000, 0.685, 8.800, 0.000, 
6, 4, 0, 20.000, 3460.562, 11.519, 33.075, 5.166, 30.249, 28.800, 0.000, 27.039, 0.000, 0.667, 8.480, 0.000, 
6, 4, 0, 19.831, 3363.409, 10.937, 50.585, 5.795, 30.167, 32.960, 0.000, 28.160, 0.000, 0.685, 8.800, 0.000, 
6, 4, 0, 20.620, 3362.291, 10.128, 52.765, 5.192, 28.534, 29.440, 0.000, 28.480, 0.000, 0.675, 8.480, 0.000, 
6, 4, 0, 20.175, 3352.353, 10.581, 32.738, 5.700, 29.460, 28.160, 0.000, 27.360, 0.000, 0.616, 7.680, 0.000, 
6, 4, 0, 20.626, 3347.826, 11.319, 32.190, 4.854, 30.020, 35.198, 0.000, 27.840, 0.000, 0.607, 8.640, 0.000, 
6, 4, 0, 20.345, 3352.379, 10.837, 50.210, 5.502, 30.115, 39.840, 0.000, 30.240, 0.000, 0.588, 8.960, 0.000, 
6, 4, 0, 19.763, 3372.004, 10.100, 31.616, 5.358, 29.559, 29.120, 0.000, 28.160, 0.000, 0.740, 8.160, 0.000, 
7, 4, 0, 22.634, 3360.649, 10.901, 34.717, 5.080, 30.438, 31.520, 0.000, 28.960, 0.000, 0.642, 8.960, 0.000, 
