length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
5, 1, 0, 4.502, 7.509, 3.885, 12.015, 7.054, 13.726, 7.168, 0.000, 6.144, 0.000, 3.648, 5.600, 0.000, 
5, 1, 0, 4.623, 7.566, 4.010, 12.350, 2.237, 8.970, 7.136, 0.000, 6.112, 0.000, 3.004, 5.408, 0.000, 
5, 1, 0, 4.502, 7.601, 3.931, 12.331, 2.138, 8.873, 7.072, 0.000, 5.952, 0.000, 3.851, 6.304, 0.000, 
5, 1, 0, 4.470, 7.545, 3.867, 12.034, 2.209, 8.954, 7.040, 0.000, 5.920, 0.000, 4.201, 5.568, 0.000, 
5, 1, 0, 4.486, 7.465, 3.401, 11.603, 2.400, 9.419, 7.168, 0.000, 6.336, 0.000, 3.272, 5.792, 0.000, 
5, 1, 0, 4.452, 7.472, 3.865, 12.035, 2.551, 9.297, 6.976, 0.000, 6.048, 0.000, 3.392, 5.824, 0.000, 
5, 1, 0, 4.521, 7.932, 3.332, 11.747, 2.682, 9.848, 6.976, 0.000, 6.080, 0.000, 2.977, 5.792, 0.000, 
5, 1, 0, 4.445, 7.438, 4.214, 12.350, 2.224, 8.906, 7.136, 0.000, 6.112, 0.000, 3.266, 5.568, 0.000, 
5, 1, 0, 4.435, 11.641, 3.530, 11.655, 2.447, 9.225, 6.976, 0.000, 6.080, 0.000, 3.385, 5.792, 0.000, 
6, 1, 0, 5.074, 9.389, 4.566, 13.822, 2.400, 9.936, 7.968, 0.000, 6.720, 0.000, 3.530, 6.016, 0.000, 
6, 1, 0, 5.228, 9.238, 4.330, 13.449, 2.344, 9.815, 8.192, 0.000, 6.816, 0.000, 3.541, 6.048, 0.000, 
6, 1, 0, 5.211, 8.448, 4.018, 13.135, 2.358, 9.781, 8.000, 0.000, 6.784, 0.000, 3.354, 6.016, 0.000, 
6, 1, 0, 5.129, 8.490, 3.831, 12.969, 2.231, 9.689, 8.000, 0.000, 6.784, 0.000, 3.566, 6.720, 0.000, 
