length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
5, 4, 0, 15.654, 27.252, 11.866, 23.796, 4.749, 15.958, 14.144, 0.000, 11.008, 0.000, 9.776, 1.888, 1.000, 
5, 4, 0, 16.122, 23.268, 11.542, 23.231, 5.537, 17.228, 14.176, 0.000, 11.072, 0.000, 10.738, 1.664, 1.000, 
5, 4, 0, 16.490, 23.132, 11.326, 23.395, 5.744, 17.020, 14.112, 0.000, 11.008, 0.000, 9.275, 1.568, 1.000, 
5, 4, 0, 16.185, 23.447, 11.550, 22.680, 4.999, 16.526, 14.656, 0.000, 11.264, 0.000, 10.175, 1.664, 1.000, 
5, 4, 0, 16.002, 23.129, 11.383, 23.018, 5.213, 16.873, 14.848, 0.000, 11.328, 0.000, 10.587, 1.536, 1.000, 
5, 4, 0, 16.103, 23.202, 13.853, 25.886, 5.396, 16.461, 14.816, 0.000, 11.008, 0.000, 9.947, 1.536, 1.000, 
5, 4, 0, 16.111, 22.762, 12.848, 23.491, 4.973, 16.293, 14.464, 0.000, 11.520, 0.000, 9.476, 1.536, 1.000, 
5, 4, 0, 16.069, 22.835, 12.320, 23.180, 5.039, 16.129, 14.592, 0.000, 11.072, 0.000, 9.525, 1.568, 1.000, 
5, 4, 0, 16.100, 22.426, 11.176, 22.888, 5.331, 16.640, 14.240, 0.000, 10.752, 0.000, 9.671, 1.568, 1.000, 
6, 4, 0, 18.685, 33.417, 12.887, 24.985, 4.818, 17.561, 16.000, 0.000, 12.000, 0.000, 11.938, 2.432, 1.000, 
6, 4, 0, 19.591, 48.530, 12.872, 25.515, 5.380, 17.937, 16.512, 1.000, 12.928, 0.000, 10.522, 1.792, 1.000, 
6, 4, 0, 19.637, 27.737, 12.277, 25.049, 5.843, 17.936, 16.704, 0.000, 12.352, 0.000, 10.403, 1.568, 1.000, 
6, 4, 0, 19.392, 27.884, 12.347, 34.127, 5.292, 18.555, 16.288, 0.000, 12.320, 0.000, 11.027, 1.600, 0.000, 
6, 4, 0, 18.298, 25.832, 12.728, 25.032, 9.258, 20.147, 16.256, 0.000, 12.096, 0.000, 10.762, 1.728, 0.000, 
6, 4, 0, 35.388, 27.967, 12.951, 25.141, 5.164, 17.352, 16.064, 0.000, 12.448, 0.000, 11.158, 1.664, 1.000, 
6, 4, 0, 19.644, 27.424, 13.472, 24.783, 5.549, 17.663, 15.808, 0.000, 12.000, 0.000, 10.701, 1.888, 1.000, 
6, 4, 0, 19.557, 27.709, 13.318, 25.609, 5.026, 17.667, 15.872, 0.000, 12.320, 0.000, 10.910, 1.664, 1.000, 
6, 4, 0, 19.353, 27.671, 12.938, 25.422, 5.461, 17.772, 16.640, 0.000, 12.608, 0.000, 10.325, 1.600, 0.000, 
6, 4, 0, 18.402, 30.126, 12.470, 24.683, 5.340, 18.067, 16.384, 0.000, 12.960, 0.000, 11.274, 1.632, 1.000, 
7, 4, 0, 22.032, 39.582, 13.334, 27.236, 4.891, 18.885, 18.112, 0.000, 13.792, 0.000, 11.949, 1.536, 0.000, 
7, 4, 0, 22.126, 31.053, 15.245, 28.014, 5.224, 18.569, 18.016, 0.000, 13.792, 0.000, 12.499, 1.536, 1.000, 
7, 4, 0, 21.415, 30.555, 14.303, 28.431, 5.461, 19.425, 17.952, 0.000, 13.344, 0.000, 11.342, 1.536, 1.000, 
7, 4, 0, 20.552, 28.708, 13.180, 26.567, 5.082, 19.400, 18.016, 0.000, 13.216, 0.000, 13.163, 1.568, 0.000, 
7, 4, 0, 20.923, 67.414, 14.727, 28.612, 5.087, 18.675, 18.176, 0.000, 13.248, 0.000, 11.892, 1.568, 0.000, 
7, 4, 0, 22.176, 30.542, 14.779, 27.892, 5.061, 18.916, 18.368, 0.000, 13.824, 0.000, 12.073, 1.632, 0.000, 
7, 4, 0, 22.356, 30.710, 14.269, 26.905, 5.205, 19.196, 18.656, 0.000, 14.176, 0.000, 11.730, 1.568, 0.000, 
7, 4, 0, 32.798, 29.094, 12.694, 26.734, 5.194, 18.847, 18.144, 0.000, 13.472, 0.000, 12.271, 1.792, 0.000, 
7, 4, 0, 20.594, 29.210, 13.225, 27.346, 5.793, 20.296, 18.400, 0.000, 13.664, 0.000, 12.815, 1.824, 1.000, 
7, 4, 0, 22.098, 30.165, 13.839, 27.123, 5.154, 18.578, 17.952, 0.000, 13.024, 0.000, 11.687, 1.824, 0.000, 
8, 4, 0, 24.425, 35.102, 14.863, 29.837, 5.397, 20.970, 20.256, 0.000, 14.528, 0.000, 12.741, 1.792, 0.000, 
8, 4, 0, 23.609, 33.433, 14.464, 30.440, 5.090, 24.120, 19.328, 0.000, 14.656, 0.000, 12.584, 1.984, 1.000, 
8, 4, 0, 23.047, 31.836, 14.391, 29.001, 5.067, 20.870, 20.000, 0.000, 15.424, 0.000, 12.419, 1.664, 0.000, 
8, 4, 0, 24.423, 33.077, 15.402, 29.858, 5.941, 20.291, 20.224, 0.000, 15.232, 0.000, 13.233, 1.792, 0.000, 
8, 4, 0, 24.841, 35.029, 14.960, 30.427, 5.115, 21.005, 20.224, 0.000, 15.040, 0.000, 13.769, 1.920, 1.000, 
8, 4, 0, 23.659, 45.415, 14.176, 29.128, 5.594, 20.285, 21.280, 0.000, 14.848, 0.000, 13.358, 1.792, 0.000, 
8, 4, 0, 23.325, 32.425, 13.991, 29.285, 21.222, 36.627, 19.808, 0.000, 14.816, 0.000, 12.890, 1.792, 0.000, 
8, 4, 0, 24.372, 53.869, 14.433, 29.389, 5.183, 21.062, 20.032, 0.000, 15.040, 0.000, 12.906, 1.792, 0.000, 
8, 4, 0, 24.330, 33.437, 14.518, 29.444, 5.151, 21.541, 19.616, 0.000, 14.528, 0.000, 13.439, 1.824, 0.000, 
8, 4, 0, 24.455, 33.020, 14.670, 29.120, 5.212, 20.847, 30.112, 0.000, 15.456, 0.000, 13.789, 1.824, 0.000, 
9, 4, 0, 25.473, 47.488, 15.994, 31.669, 5.382, 22.221, 22.368, 0.000, 16.160, 0.000, 14.406, 1.824, 0.000, 
9, 4, 0, 25.587, 35.046, 15.360, 31.352, 5.518, 22.860, 22.784, 0.000, 16.032, 0.000, 14.778, 1.792, 0.000, 
9, 4, 0, 25.533, 34.590, 15.232, 30.538, 5.299, 21.995, 22.432, 0.000, 16.448, 0.000, 14.405, 1.792, 0.000, 
9, 4, 0, 25.428, 33.886, 15.322, 31.855, 4.971, 21.674, 22.560, 0.000, 15.904, 0.000, 14.036, 1.984, 0.000, 
9, 4, 0, 25.282, 34.297, 15.156, 30.867, 4.958, 22.189, 21.280, 0.000, 15.584, 0.000, 14.425, 14.592, 0.000, 
9, 4, 0, 27.656, 37.298, 16.129, 32.011, 5.135, 21.530, 22.528, 0.000, 15.936, 0.000, 13.850, 1.792, 0.000, 
9, 4, 0, 26.899, 35.936, 15.114, 31.352, 4.885, 21.703, 22.624, 0.000, 16.416, 0.000, 13.500, 1.792, 0.000, 
9, 4, 0, 26.808, 37.130, 15.319, 31.038, 5.593, 22.217, 22.624, 0.000, 16.384, 0.000, 13.846, 1.888, 0.000, 
9, 4, 0, 24.492, 34.759, 15.547, 31.191, 5.319, 21.218, 22.944, 0.000, 15.904, 0.000, 14.522, 1.792, 0.000, 
9, 4, 0, 25.245, 34.270, 15.077, 30.565, 4.910, 21.429, 22.080, 0.000, 16.448, 0.000, 14.380, 1.760, 0.000, 
10, 4, 0, 27.604, 70.103, 15.746, 33.391, 4.762, 22.635, 25.568, 0.000, 17.312, 0.000, 15.426, 1.792, 0.000, 
10, 4, 0, 28.003, 37.446, 15.752, 33.269, 5.305, 23.678, 23.616, 0.000, 17.952, 0.000, 15.071, 1.792, 0.000, 
10, 4, 0, 27.626, 38.073, 16.202, 33.752, 4.755, 23.017, 24.512, 0.000, 17.632, 0.000, 14.567, 1.952, 0.000, 
10, 4, 0, 27.739, 37.092, 16.483, 34.309, 5.098, 24.045, 24.896, 0.000, 17.824, 0.000, 14.765, 1.824, 0.000, 
10, 4, 0, 28.382, 40.354, 16.547, 33.769, 4.993, 23.162, 24.032, 0.000, 17.888, 0.000, 15.044, 1.760, 0.000, 
10, 4, 0, 29.496, 39.030, 16.261, 33.266, 5.597, 23.846, 23.616, 0.000, 17.376, 0.000, 15.553, 1.824, 0.000, 
10, 4, 0, 29.361, 39.394, 16.397, 34.365, 5.397, 23.734, 26.240, 0.000, 17.760, 0.000, 14.814, 1.920, 0.000, 
10, 4, 0, 27.504, 36.674, 15.491, 32.838, 4.820, 22.807, 24.064, 0.000, 17.280, 0.000, 14.590, 1.984, 0.000, 
