length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, updoad_device_time, blockingKernelTimeoutDetected, 
5, 4, 0, 9.327, 1584.480, 19.737, 51.597, 9.889, 36.639, 19.397, 0.000, 23.124, 0.000, 0.170, 4.288, 0.000, 
5, 4, 0, 9.899, 1570.854, 19.918, 42.490, 11.291, 41.057, 31.379, 0.000, 86.723, 0.000, 0.161, 3.967, 0.000, 
5, 4, 0, 20.007, 1617.622, 15.149, 44.624, 9.809, 39.635, 30.457, 0.000, 31.659, 0.000, 0.260, 2.845, 0.000, 
5, 4, 0, 8.957, 1651.125, 13.335, 38.122, 11.411, 44.363, 20.799, 0.000, 29.896, 0.000, 0.321, 2.885, 0.000, 
5, 4, 0, 11.031, 1686.060, 18.675, 54.172, 11.542, 55.515, 28.654, 1.000, 36.949, 0.000, 0.201, 3.487, 0.000, 
5, 4, 0, 8.907, 1569.842, 16.271, 46.137, 9.708, 32.491, 29.576, 0.000, 34.505, 0.000, 0.191, 3.005, 0.000, 
5, 4, 0, 10.189, 1438.615, 19.546, 51.967, 9.077, 34.776, 47.450, 0.000, 49.453, 0.000, 0.140, 2.965, 0.000, 
5, 4, 0, 8.707, 1538.793, 15.299, 49.844, 9.438, 39.725, 23.364, 0.000, 29.977, 0.000, 0.251, 3.006, 0.000, 
5, 4, 0, 10.159, 1631.799, 21.370, 44.654, 11.742, 37.891, 29.095, 0.000, 36.108, 0.000, 0.160, 5.570, 0.000, 
5, 4, 0, 8.857, 1630.856, 20.248, 54.672, 11.422, 48.151, 54.383, 1.000, 49.092, 0.000, 0.170, 2.806, 0.000, 
6, 4, 0, 10.260, 1563.409, 20.458, 62.237, 11.401, 45.104, 32.141, 0.000, 20.318, 0.000, 0.171, 2.846, 0.000, 
6, 4, 0, 10.059, 1606.721, 20.639, 46.317, 9.969, 32.902, 52.258, 0.000, 58.149, 0.000, 0.150, 3.967, 0.000, 
6, 4, 0, 9.989, 1612.602, 21.230, 70.172, 10.400, 40.286, 43.201, 0.000, 46.207, 0.000, 0.280, 4.207, 0.000, 
6, 4, 0, 11.341, 1486.325, 14.868, 64.662, 12.534, 41.328, 39.315, 0.000, 35.668, 0.000, 0.280, 2.805, 0.000, 
6, 4, 0, 21.931, 1603.335, 18.074, 64.601, 10.731, 53.942, 34.705, 0.000, 33.263, 0.000, 0.150, 4.248, 0.000, 
6, 4, 0, 11.412, 1444.356, 31.880, 52.338, 11.953, 35.567, 34.946, 0.000, 32.902, 0.000, 0.300, 3.005, 0.000, 
6, 4, 0, 10.159, 1584.510, 18.314, 72.316, 11.451, 49.623, 32.781, 0.000, 31.579, 0.000, 0.280, 4.208, 0.000, 
6, 4, 0, 10.830, 1514.759, 19.396, 46.277, 11.091, 42.740, 40.837, 0.000, 34.705, 0.000, 0.281, 2.845, 0.000, 
6, 4, 0, 21.700, 1599.478, 14.117, 70.603, 12.323, 63.570, 35.226, 0.000, 41.037, 0.000, 0.311, 4.168, 0.000, 
6, 4, 0, 12.003, 1568.530, 33.923, 119.895, 19.637, 40.977, 42.761, 0.000, 50.696, 1.000, 0.431, 5.771, 0.000, 
7, 4, 0, 13.656, 1510.390, 22.392, 54.833, 11.362, 175.060, 43.001, 0.000, 44.884, 0.000, 0.491, 4.289, 0.000, 
7, 4, 0, 12.944, 1468.832, 17.142, 63.269, 11.031, 46.147, 32.221, 0.000, 38.392, 0.000, 0.591, 5.250, 0.000, 
7, 4, 0, 14.107, 1467.380, 28.403, 72.766, 10.119, 60.413, 33.984, 0.000, 36.829, 0.000, 0.471, 2.765, 0.000, 
7, 4, 0, 16.190, 1631.598, 30.537, 84.809, 12.203, 48.792, 37.911, 0.000, 48.371, 0.000, 0.250, 4.568, 0.000, 
7, 4, 0, 12.463, 1459.174, 15.950, 46.939, 12.764, 50.856, 38.192, 0.000, 48.972, 0.000, 0.371, 3.006, 0.000, 
7, 4, 0, 13.395, 1418.507, 32.752, 70.583, 18.284, 42.330, 61.957, 0.000, 58.951, 0.000, 0.641, 3.807, 0.000, 
7, 4, 0, 12.093, 1759.489, 20.709, 76.474, 11.491, 50.214, 47.489, 0.000, 53.420, 0.000, 0.241, 3.967, 0.000, 
7, 4, 0, 11.913, 1763.967, 20.398, 133.110, 11.211, 42.299, 41.318, 0.000, 30.257, 0.000, 0.411, 3.045, 0.000, 
